Make,YOM,Color,Used,Transmission,Mileage,Price,City
Nissan,2013,Black,Foreign Used,Automatic,56258.0,1500000,Mombasa
Nissan,2015,White,Foreign Used,Automatic,97925.0,1880000,Mombasa
Nissan,2014,Purple,Foreign Used,Automatic,51000.0,1400000,Mombasa
Nissan,2015,Gray,Foreign Used,Automatic,63200.0,780000,Mombasa
Nissan,2013,Black,Foreign Used,Automatic,70.0,880000,Mombasa
Nissan,2014,White,Foreign Used,Automatic,58000.0,1200000,Mombasa
Nissan,2014,White,Foreign Used,Automatic,86532.0,860000,Nairobi
Nissan,2014,White,Foreign Used,Automatic,96580.0,685000,Nairobi
Nissan,2014,Orange,Foreign Used,Automatic,75000.0,1290000,Nairobi
Nissan,2014,Silver,Foreign Used,Automatic,118000.0,880000,Nairobi
Nissan,2014,White,Foreign Used,Automatic,63200.0,599000,Mombasa
Nissan,2014,White,Foreign Used,Automatic,86532.0,560000,Nairobi
Nissan,2013,White,Foreign Used,Automatic,53753.0,530000,Mombasa
Nissan,2013,Red,Foreign Used,Automatic,70.0,890000,Mombasa
Nissan,2012,White,Foreign Used,Automatic,77653.0,730000,Mombasa
Nissan,2014,Black,Foreign Used,Automatic,62558.0,1350000,Mombasa
Nissan,2015,Black,Foreign Used,Automatic,48907.0,2495000,Mombasa
Nissan,2014,Silver,Foreign Used,Automatic,115000.0,665000,Nairobi
Nissan,2014,Pearl,Foreign Used,Automatic,41000.0,880000,Nairobi
Nissan,2014,Silver,Foreign Used,Automatic,86532.0,1190000,Nairobi
Nissan,2014,Gray,Foreign Used,Automatic,97163.0,1895000,Nairobi
Nissan,2014,White,Foreign Used,Automatic,90000.0,810000,Nairobi
Nissan,2015,Black,Foreign Used,Automatic,56325.0,2300000,Mombasa
Nissan,2014,White,Foreign Used,Automatic,86532.0,1400000,Mombasa
Nissan,2014,Black,Foreign Used,Automatic,86532.0,1750000,Mombasa
Nissan,2014,Silver,Foreign Used,Automatic,118000.0,880000,Nairobi
Nissan,2014,Blue,Foreign Used,Automatic,63012.0,750000,Mombasa
Nissan,2014,Black,Foreign Used,Automatic,135624.0,1350000,Nairobi
Nissan,2014,Silver,Foreign Used,Automatic,59000.0,1180000,Nairobi
Nissan,2014,White,Foreign Used,Automatic,86532.0,560000,Nairobi
Nissan,2015,Pearl,Foreign Used,Automatic,116524.0,2345000,Nairobi
Nissan,2015,Silver,Foreign Used,Automatic,68000.0,1290000,Mombasa
Nissan,2014,Gray,Foreign Used,Automatic,57876.0,770000,Nairobi
Nissan,2014,Gold,Foreign Used,Automatic,55000.0,1250000,Mombasa
Nissan,2015,Black,Foreign Used,Automatic,85000.0,800000,Nairobi
Nissan,2014,Silver,Foreign Used,Automatic,58000.0,1199000,Mombasa
Nissan,2014,Silver,Foreign Used,Automatic,80000.0,1250000,Nairobi
Nissan,2014,Silver,Foreign Used,Automatic,86532.0,1190000,Nairobi
Nissan,2014,Gray,Foreign Used,Automatic,78000.0,800000,Mombasa
Nissan,2014,Black,Foreign Used,Automatic,57000.0,2100000,Mombasa
